"date","username","tweet"
"2009-02-02","caracolradio","hospital universitario de medellã­n sin camas para quemados http tinyurl.com bf4fmy"
"2009-02-02","cope","nuestra seã ora de la candelaria madre en tenerife y medellã­n http tinyurl.com btls83"
"2009-02-02","despegar","medellin â semana santa en aruba todo incluido desde usd http www.co.despegar.com paginas alertatarifas co atco20090129133505 htm"
"2009-02-02","elreticente","que calor hace en medellã­n no somos de clima temblado sino loco"
"2009-02-02","futbolred","en el mitico centenario medellin quiere ratificar su clasificacion trajeron las muletas eso fue lo p http tinyurl.com dj935j"
"2009-02-02","georgedonnelly","visitamos el acuario de medellin en parque explora sabado aunque pequeno es muy chevere bien hecho y manejado"
"2009-02-02","medallo","lo que piensa un hombre sobre las mujeres http tinyurl.com b7kevh vuelven los plenilunios http tinyurl.com cjuqrz destino http tinyurl.com cuhvcu el nuevo movil de obama http tinyurl.com agvu76 video grabaciã n de loops en vivo con traktor pro http tinyurl.com aowwv3 crisis casera http tinyurl.com af9y8p fantasmas ruidos y ciencia ficciã n en h.g fortune http tinyurl.com aotkwh quot sã lo un sueã‘o http tinyurl.com bm6hxc maravilloso secuenciador hexagonal por gustavo bravetti http tinyurl.com brgj9z estadã­sticas enero de http tinyurl.com c9hfhu el ãºltimo mensaje http tinyurl.com d4c9s2"
"2009-02-02","noticiascaracol","deportes medellã­n repite formaciã n en la copa libertadores read more http tinyurl.com as58hw deportes medellã­n ya estã en casa del golpeado peã arol http tinyurl.com cf22hk"
"2009-02-02","puntolink","en unos segundos comenzamos la grabaciã n de primera escena medellã­n stop motion plastilina"
"2009-02-05","caracolradio","el gobierno niega recorte al presupuesto de la vã­a medellã­n quibdã http tinyurl.com bl8zus"
"2009-02-05","despegar","medellin â desde viaja a bogotã con despegar.com http www.co.despegar.com paginas alertatarifas co atco20090203115323 htm"
"2009-02-05","elreticente","ya tengo nueva direcciã n un telefono otro barrio ahã­ voy hasta que medellã­n me desplace"
"2009-02-05","gacetilla","col reinsertados utilizan dinero de la alcaldã­a medellin para comprar armas http tinyurl.com cxuheb"
"2009-02-05","laneros","compro vcard caballeros una tarjeta que sea bien poderosa aquã­ en medellã­n http tinyurl.com da4jbr"
