"date","username","tweet"
"2013-08-03","7diazela2","cuando vaya a medellin sera algo eterno saber que durare un mes allã sin mi novia shora"
"2013-08-03","arangosalinas_","segun mi papã cartegena es mas peligrosa que medellin jajajaja"
"2013-08-03","astridnherrera","todos sigan al fc oficial de trebolclan1 en medellã­n gt trebolclanmed"
"2013-08-03","borisduquea","buenas noches numeral767 solicito nuevamente informaciã n de la via barranquilla medellin muchas gracias"
"2013-08-03","ceicordoba","que sera la vida de medellin"
"2013-08-03","daya_gamez","meses en medellin y ya es re paisa jajajajajajajaja doble moral"
"2013-08-03","elwilsonloco","que rico la feria de medellin"
"2013-08-03","fmelo93","i'm at la medellã­n antioquia http a3g0b2put4"
"2013-08-03","javierhdez_77","jfcadavid el arquero david gonzã lez fue del medellin q estubo perdido x europa y pintaba para selecciã n colombia buscara mundial"
"2013-08-03","likelimitless","tonight â night weekend happy agu colombia medellin http hrzmn6ob5z"
"2013-08-03","litchemedellinc","sodamaris mujer atacada por un perro en medellã­n sufriã dest http hbjzyerqdr sigue las noticias de litche"
"2013-08-03","mauropm1","me van a llevar medellã­n en serio bueno bajo su responsabilidad"
"2013-08-03","minuto30com","vivir la feria de flores â œen pazâ pide alcalde medellã­n http tykcbhaae9 vã­a"
"2013-08-03","noticiasrcn","noticiasrcn estã en la feria de las flores medellã­n toda informaciã n nuestra emisiã siete noche"
"2013-08-03","osniun98","regresando a bogotã yeiiiiiiii ðÿ via medellin http hum7tfawou"
"2013-08-03","redepazant","en moravia medellã­n disfrutando de la convivencia presentado el manual defensoragatuna http 28bvgkawnc en moravia medellã­n disfrutando de la convivencia presentado el manual paulamarcela32 http ntotzfhykz"
"2013-08-03","robbiegoodwin","zhaldeman also roeper's review of medellin"
"2013-08-03","sofia_vb2","ganas de irme ya para medellin"
"2013-08-03","tente91","lauraduran033 y nosotros esperandote en villa nueva q fuerte nos dejas tiraos por las ferias de medellã­n me parece"
"2013-08-06","cannabinoideccc","medejean edificio inteligente por la tardecita medellin colombia http th5urlrmiz"
"2013-08-06","carloshibrido","a don ivanmarinsoyyo le debe interesar venir medallo en octubre http m0ndkvgr9l"
"2013-08-06","chasalas","desde medellã­n colombia observando la bufonada venezolana el tal socialismo acaba con nuestra patria"
"2013-08-06","dj_henrique13","hoy disfrute de esta rica prepago http bca3zfkfw3 divinaspaisas medellin una chimba feriadeflores"
"2013-08-06","elparcerodel8","enlacasa saludos a todos los del trancon que van en medallo"
"2013-08-06","esledycamargo","con la protecciã n y bendiciã de dios rumbo a medellin tropa boom"
"2013-08-06","fabiotirado","listos pa tarima con dios in medallo parce http d8koszob26"
"2013-08-06","juancagc","con el gran gatosinbruja en medellã­n gracias por la foto http 0e8vus9uwt"
"2013-08-06","kanaruaizawa16","chasalas andas en medellã­n â eh bienvenido a estos lares"
"2013-08-06","lilipato889","feriasmedellin trovetuit medellin estã de fiesta es todo un rã­o flores que traen los silleteros para vestirla colores"
"2013-08-06","mar0197","asi los lee la princesa camila10e desde medellin http i477qsyoua"
"2013-08-06","mariluzpalacio","colapso en movilidad medellã­n sttmed"
"2013-08-06","melissar428","de medellin para el mundo"
"2013-08-06","monroycamilo","medellã­n imparable"
"2013-08-06","mtvcolombia","foto de concierto madonna en medellin http rnu6omdlrg"
"2013-08-06","niwed2","consignahdf como buen hincha del medellã­n preferio otro jackson sin desmeritar lq calidad de teo"
"2013-08-06","radnalco","el cantautor serranoismael se presenta en bogotã y medellã­n http oxbdzxftq0 somosradiopãºblica"
"2013-08-06","saritapalacio","medellã­n estã imposible hoy somos sinã nimo de trancã n"
"2013-08-06","valeriada_","mariale0699 porque vamos a medellin"
"2013-08-06","yulianaascencio","quiero ir a medellin"
"2013-08-09","__pazzo__","medellin colombia ahi te voy"
"2013-08-09","actualidadpol","evidente y descarado maltrato animal que evidenciã hoy en el centro comercial gran plaza de medellã­n animales encerrados jaulas 6x6"
"2013-08-09","alejomejia28","medellã­n i â u av oriental http gu3lioe94o"
"2013-08-09","alevillegama","bernardoaguerra quã no se estã n dando cuenta de los mercenarios costeã‘os la cir plastivca en medellin josã daza almenarez y majana"
"2013-08-09","alexfdezo","marolinsd sigues en medellin amiga"
"2013-08-09","alvaroblanco81","numeral767 y cuantos kilã metros de mã s son medellã­n bogotã por manizales numeral767 medellã­n manizales bogotã en que estado de encuentra"
"2013-08-09","andreakro136","lizcontreras199 jajjaja sera cerveza o medellin"
"2013-08-09","clajudcatalan","rumbo a medellin maã ana tenis por winsportstv"
"2013-08-09","criscontradanza","y nos fuimoooos contradanzarua en la final fetivaldelatrova medellã­n feriadelasflores yuuuujuuuuuu mas que bendecidos feliceees d"
"2013-08-09","danielgomeznac","ccmonterrey medellã­n se engalana con la flor de innovaciã n que sale monterrey un centro evoluciã tuiteatutrova"
"2013-08-09","deporteversus","ccmonterrey medellã­n se engalana con la flor de innovaciã n que sale monterrey un centro evoluciã tuiteatutrova ccmonterrey esta noche en medellã­n se ve un florecimiento pero como esto es monterrey la flor del conocimiento tuiteatutrova"
"2013-08-09","edwin9701","medalloâ"
"2013-08-09","elindiomusik","con mi club de fans en medellin fcelindiomed mariaisabelss lajimenez_90 dannysuap las quiero familia http qminxdkjih"
"2013-08-09","escujuliana","ff para losoriginales los adoro oyendolos en medellã­n lafm claudiabahamon maclaratorres karltroller papijaime"
"2013-08-09","fondaelgranero","ccmonterrey medellã­n se engalana con la flor de innovaciã n que sale monterrey un centro evoluciã tuiteatutrova"
"2013-08-09","impulso_play","ccmonterrey medellã­n se engalana con la flor de innovaciã n que sale monterrey un centro evoluciã tuiteatutrova"
"2013-08-09","invertirmejor","tendremos lleno en nuestro seminario de inversiones x internet para no expertos medellã­n informaciã n http j7zhebthgo"
"2013-08-09","la33orquesta","hoy feriadelasflores medellin parque de los deseos 11pm allã nos vemos para gozar y guarachar con la orquesta"
"2013-08-09","laloguaman1987","medellin http jpxysrc3r3"
"2013-08-09","laurabarreraoro","i'm at centro comercial oviedo oviedocc medellin antioquia w others http fvtxunrusv"
"2013-08-09","lucyricardo19","necesito a alguien que me diga este fds voy para tu casa y hacemos algo ese termina por allaaaa medellin auravasquez jajajaa"
"2013-08-09","majo_esca","medellin d http sm0n4aakgw"
"2013-08-09","manueparra","check out la charcu medellã­n on foursquare http vjdnffn5nm"
"2013-08-09","marolinsd","relax medellin http gftizdv8ak"
"2013-08-09","monichaker","asi o mas hermoso ccsantafe medellin http 85kphlhsek"
"2013-08-09","mooniric","voy a jugar kpop medellin me cuadrar alguien y lo dejo los dã­as para cuadrarme con mas"
"2013-08-09","natycontradanza","con toda la energã­a hoy reydereyes feriadelasflores parquedelosdeseos trova reydelatrova teleantioquia medellã­n contradanza"
"2013-08-09","numeral767","alvaroblanco81 buenas noches la vã­a medellã­n manizales en entrada de santa bã rbara presenta congestiã n por accidente trã nsito"
"2013-08-09","origenescol","expointernacional equina de medellin"
"2013-08-09","paindigital","el combate vacilando pr en medellin lanaproductions te cojo bajando cantoeca http erpqdj7jwu"
"2013-08-09","pamelasantanav","â por quã alcolirykoz y crewpeligrosos presentan hoy no maã ana el dã­a de mayor asistencia debiã tener a lo mejor medallo igual exitos"
"2013-08-09","pedroperezt","lo peor de todo es que siempre escucho esa canciã n cuando estoy lejos medellã­n en emisoras bares discotecas etc"
"2013-08-09","pedrorinc","sonidocolombia como la esta pasando mi gente del caraudio en medellin"
"2013-08-09","rabodeajip","en medellã­n hay un grupo de mujeres tremendas para el merodrama"
"2013-08-09","sercreativoweb","ccmonterrey medellã­n se engalana con la flor de innovaciã n que sale monterrey un centro evoluciã tuiteatutrova"
"2013-08-09","sindymaussa","hola medellã­n"
"2013-08-09","sonidocaraudio","team hertz medellã­n http uri95ynjkq"
"2013-08-09","zambamedellin","â nos preparamos para disfrutar las mejores experiencias en medellã­n http od7cmc8w8c"
"2013-08-12","29diegos31","numeral767 buenas noches me informarian el estado de la via medellin caucasia gracias"
"2013-08-12","angaro8606","leyendo un poco para hacer los mejores cocteles de medallo"
"2013-08-12","annieusal","magiamental llegarã s a medellã­n y serã feliz"
"2013-08-12","clima24_7","centro de medellã­n temperatura âºc y humedad climanovedades"
"2013-08-12","dianalunareja","rajhep jajajajajajajajajajajaja no debã­ volver a medellã­n tampoco entonces"
"2013-08-12","elisa_mariav","en medellã­n abrieron un hospital de guerra tipo cinco estrellas http czglrmyzec vã­a eltiempo"
"2013-08-12","encuentroeild","orquideorama medellin http 6nd5ro5gth"
"2013-08-12","huilbook","feria de las flores medellin http sjleiv5us2"
"2013-08-12","ingrithossa","pues que el metro de medellã­n pare en mitad una estaciã n por lo menos minutos es aterrorizaste ðÿ"
"2013-08-12","interandinos","numeral767 buena noche favor confirmar via medellin monteria permiten el paso en hatillo salida de"
"2013-08-12","jarloswithkogan","btrftparamore exacto eso pasa aquã­ solo en la capital no pero quisiera ir a medellin ademas tomar cafã de ahã­ viene el mejor"
"2013-08-12","jolgitohq","seguimo o paramo jajaja medellin colombia club beer lleras instagood instamoodâ http acwzdfhtrn"
"2013-08-12","kacl25","yo quiero ir a la feria de las flores en medellin colombia c"
"2013-08-12","litchemedellinc","anacanojara un cordobã s mejor atleta en intercolegiados de me http egujct9xa7 sigue las noticias medellã­n litche"
"2013-08-12","maexmilly","medellin colombia"
"2013-08-12","medepin","participa festival de solistas medellin gt cc unicentro http c1icybyn76"
"2013-08-12","mgsalinass","carol_medellin nosetu pero yo creo que tener colicos y andar con tacones es como el infierno"
"2013-08-12","mredulondo","victorhugorteg oelo pana cuando llega ps a medallo para hablar un rato y relajarnos se le quiero brother"
"2013-08-12","redepazant","en la inaugura de mesa derechos humanos comuna medellã­n http damej6ljdt"
"2013-08-12","viviana890","gloriadiazsalom saludos desde medellin soy fiel seguidora quiero saber como me va a ir en el amor naci de agosto y am"
"2013-08-15","adecco_colombia","lugar de trabajo antioquia medellin importante empresa del sector productos mã dicos requiere profesional http dbfwhkodbo lugar de trabajo antioquia medellin importante empresa del sector transporte solicta tecnico o tecnologo en http zlpvnm1tfm"
"2013-08-15","anammontoyaa","i'm at centro de acondicionamiento fã­sico el molino medellã­n http mvdfugbfv9"
"2013-08-15","arguellesbags","estefaniameira camilachain lorepulecio van a medallo q quieren d cali solo es digan besos mujeresw feliz luego sudar las boletas"
"2013-08-15","atletismoentrev","seleã ã o brasileira segue terã a feira para medellã­n confederaã de atletismo cbat definiu http vke7dlc8f6"
"2013-08-15","cablenoticias","autoridades identificaron causantes del color rojo en el rã­o medellã­n http nu3tymqpfk"
"2013-08-15","camilajuarez970","detuvo la pgj homicidas de personas en medellã­n veracruz http iz51zyn70b"
"2013-08-15","canaltrececo","maã ana seguiremos mostrando elgranfan en medellã­n ejercã­tate y prepã rate porque habrã lucha libre estaremos el jardã­n botã nico"
"2013-08-15","capescador95","si algãºn dã­a voy de visita a medellã­n jamã s me perdonarã­a el no conocer andrearbelaez11 hedicho"
"2013-08-15","carolina970417","alexubagoficial miradiotiempoyalexubago radiotiempo1059 en medellin vivo"
"2013-08-15","dani_rojas92","esa pensdera si voy o no a las ferias de palmira es q estoy ahorrando para medellin ver mi esposo dy"
"2013-08-15","danielcastilla7","â sos hincha de medellin poresonadietequiere"
"2013-08-15","devimed","buenas noches autopista medellã­n bogotã tramo el santuario sin novedades buenas noches autopista medellã­n bogotã km la leticia paso restrigido a un carril hasta las am"
"2013-08-15","douglasfugazi","i'm at mall san lucas medellin http poy3vmvxpy"
"2013-08-15","elclubdeprensa","se ha aumentado cobertura en educaciã n medellã­n con pero son de cada los bachilleres las esquinas juan luis mejã­a eafit"
"2013-08-15","feraguirre9805","detuvo la pgj homicidas de personas en medellã­n veracruz http vaz0joiqgm"
"2013-08-15","henryhoracio","de cien bachilleres medellã­n se nos estã n quedando en las esquinas juan luis mejã­a los aã os elclubdeprensa"
"2013-08-15","jacquevasd","medellin dia fin oscurece hermoso http uaajnmjvdz"
"2013-08-15","jjdynasty","en latoneria y pintura antes de mi viaje uã as cabello maleta jajajajaja medallo bonito"
"2013-08-15","jnxdim","que el rojo o yo es un dilema pfff si todos sabemos primero medellin y despues mundo"
"2013-08-15","labuenaopinion","petrogustavo sectormovilidad medellã­n con app huecosmed para reportar huecos en bogotã tendrã q ser vã­as buenas"
"2013-08-15","laurafsanchez","rumbo medellã­n go titans"
"2013-08-15","litchemedellinc","sebitasherreraa coleccionistas de pines hard rock cafã se http xpzehhuq7j sigue las noticias medellã­n en litche"
"2013-08-15","luisenrique1","ciudadanita estas en medellin"
"2013-08-15","medellin_travel","para quienes aãºn no lo conocen les compartimos el himno de antioquia exponiendo nuestra diversidad cultural http inmog0uxol"
"2013-08-15","naelamusic","gracias medellin http zfsgqn0ape"
"2013-08-15","nandoarley","incautan kilos de marihuana en la vã­a medellã­n pintada http vjp2jfva8y"
"2013-08-15","ngt812","a jorge le van terminar haciendo una estatua tambien alla en medellin el parque de las gordas botero jajajajaja asi como va"
"2013-08-15","noeaparicio18","bueno pues maã ana pa medellin a exar las cerbeeeecitaa compis jajaj"
"2013-08-15","numeral767","buenas noches vã­a caucasia medellã­n corregimiento el jardã­n cierre total por manifestaciones tiempo estimado de apertura en verificaciã n cftoro28 de la vã­a bogotã caucasia a continuaciã n adjuntamos estado del tramo medellã­n http 1umvstvvgv cftoro28 buenas noches de la vã­a bogotã caucasia a continuaciã n adjuntamos estado del tramo medellã­n http elw1yu6zpg diegopin02 buenas noches a continuaciã n relacionamos el estado actual de la vã­a medellã­n bogotã por honda http vyw3wmt2tj"
"2013-08-15","paranoidweb","el campuspartyco que se realizarã en medellã­n mes de octubre confirma la presencia bruce dickinson vocalista ironmaiden"
"2013-08-15","solmarender","avianca complicado el tema en puerta del aeropurto medellin"
"2013-08-15","tatyvo","seã ores avianca que falta de respeto es esto todos los vuelos saliendo medellã­n estã n atrasados hasta horas"
"2013-08-15","tgamero_","con ganas de estar en medellã­n colombia digonomã s"
"2013-08-15","tuiterosboyaca","el fundador de onswipe y co grooveshark andrã s barreto estarã en cpco6 medellã­n mes octubre"
"2013-08-15","yonkistv","â volveremos a ver medellã­n entera empapelada por los yonkis http wkgu8tdxqx"
"2013-08-18","apetrolera","min se acerca ind medellã­n salva r19carrascal"
