"date","username","tweet"
"2020-09-02","alethiaarango","en compaã ã­a del equipo tã cnico dagrdmedellin cuadrilla de secretarã­a medio ambiente y epmestamosahi realizamos recorrido verificaciã n acompaã amiento a familias afectadas por incidentes generados las lluvias ãºltimas horas medellã­n alcaldiademed 7c8z9ovkmq"
"2020-09-02","alvarogonzalezu","numeral767 por favor seã ores invias necesitamos saber quã ocurre ya en vã­a cisneros medellã­n un poco despuã s de que estã detenida el nunca responde nadie llevamos enfermo vehã­culo"
"2020-09-02","biosaura","villada_zapata mariiimejia todo medellin pues jajajaj"
"2020-09-02","bren_en_tweets","quinterocalle quien sabe en que medellã­n habrã n hecho esa encuesta"
"2020-09-02","catagonzalezh03","medellã­n en cuarentena sin ii64tqhl2e"
"2020-09-02","cfcifuentesa","trabajosihay medellã­n asesor comercial a65gilzphf"
"2020-09-02","cuartas_andres","nicolascorrea98 camd7777 quinterocalle todos los que no queremos petroã eros en medellin esto es bogota se respeta empaque de una vez ud tambien"
"2020-09-02","darumgestor","rã plicas aaa deportivas de tu equipo preferido cuarentena paronacionalya covid19 seleccion futbol sudamerica barranquilla bucaramanga valledupar medellin bogota"
"2020-09-02","dice_el_franco","j_upegui hay que tener en cuenta toda la informaciã n y no seleccionar solo lo les favorece esta es verdadera opiniã de los ciudadanos mã s mitad consideran estamos empeorando medellin cpccb4ygnk"
"2020-09-02","dssm1927","andresruiz_3 ayer perdã­ mã s finales que el medellã­n y cali juntos"
"2020-09-02","elda1129","quinterocalle puede poner lo que quiera la revocatoria es segura medellã­n no acepta infiltrados politiqueros capitalinos y menos comunistas"
"2020-09-02","eltraductor14","quinterocalle felicitaciones alcalde a todo el equipo que lo acompaã los retos para transformar medellã­n apenas inician ha marcardo camino destronar la corruptela de siempre corruptos siembran divisiã n porq saben ciudad unida contra ese mal deja fuera del poder"
"2020-09-02","facundomascotas","collar bã sicoðÿ’œðÿ’œðÿ’œ disponible en tallas s m y l âœˆï envã­os a nivel nacional ðÿ whatsapp domicilios medellã­n aceptamos todas las tarjetas ðÿœ â l5vpuhnr7y"
"2020-09-02","geissmannlopez","guardianidioma tvnelsalvador elsalvad miikebermudez fuenteslos jzumaa1 edale331 tungara ellibertariosv miguirresv ricardoparada10 josehernandezm co2208fer secgenbanki2 castillocnel medellin_selene yulyalferez eugeniangel3 eybonluis rigo32695901"
"2020-09-02","harold_andres23","â que son estas ganas de ir a medellã­n comerme un par perras ðÿ"
"2020-09-02","inmooneproptech","fjqlmyixwg tres convocatorias estarã n dirigidas a jã venes personas con discapacidad y poblaciã general de medellã­n"
